                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3232,                 4.8519,                 1.5331,                0.00715,                0.24666,                0.01957,                 0.0114,                 1.1643,                 3.9447,                 1.5153,             3.2879e-05,             3.2879e-05,             3.2879e-05
                      2,                 1.3096,                 4.0496,                 1.5237,                0.80219,                0.05773,                0.05826,                0.03745,                 1.1699,                 3.2845,                 1.4938,             6.4575e-05,             6.4575e-05,             6.4575e-05
                      3,                 1.3146,                 3.6113,                 1.4982,                 0.8529,                0.07631,                0.09837,                0.06575,                 1.1721,                 2.9653,                  1.479,             9.4964e-05,             9.4964e-05,             9.4964e-05
                      4,                 1.3128,                 3.2407,                 1.4924,                0.71943,                0.13242,                0.14054,                0.08982,                 1.2109,                 2.6318,                 1.4848,             9.3119e-05,             9.3119e-05,             9.3119e-05
                      5,                 1.2923,                 3.0378,                 1.4645,                  0.828,                0.13792,                 0.1844,                0.12603,                 1.1821,                 2.4684,                 1.4606,             9.1159e-05,             9.1159e-05,             9.1159e-05
                      6,                 1.2694,                 2.8302,                 1.4382,                0.77268,                0.16581,                 0.2074,                 0.1438,                 1.1649,                 2.3367,                 1.4567,             8.9199e-05,             8.9199e-05,             8.9199e-05
                      7,                 1.2659,                  2.724,                 1.4308,                0.62717,                0.23929,                 0.2606,                0.18241,                 1.1506,                 2.1979,                 1.4376,             8.7239e-05,             8.7239e-05,             8.7239e-05
                      8,                 1.2498,                  2.617,                 1.4107,                0.69043,                0.23192,                0.27389,                0.19536,                 1.1307,                 2.1343,                 1.4113,             8.5279e-05,             8.5279e-05,             8.5279e-05
                      9,                 1.2417,                 2.5229,                    1.4,                0.53873,                 0.2918,                0.28724,                0.20518,                 1.1244,                 2.0507,                 1.4075,             8.3318e-05,             8.3318e-05,             8.3318e-05
                     10,                 1.2207,                 2.4683,                 1.3868,                0.54314,                0.29288,                0.30928,                0.22375,                 1.1265,                 2.0396,                 1.3984,             8.1358e-05,             8.1358e-05,             8.1358e-05
                     11,                 1.2168,                 2.3766,                 1.3775,                0.53718,                0.31486,                0.32233,                0.23251,                 1.1464,                 1.9682,                  1.415,             7.9398e-05,             7.9398e-05,             7.9398e-05
                     12,                  1.201,                 2.2927,                  1.366,                0.57186,                0.31627,                0.33997,                0.24172,                 1.1211,                 1.9217,                 1.3978,             7.7438e-05,             7.7438e-05,             7.7438e-05
                     13,                 1.1908,                 2.2675,                 1.3625,                0.63498,                0.30708,                 0.3394,                0.24399,                 1.1327,                 1.9015,                  1.401,             7.5478e-05,             7.5478e-05,             7.5478e-05
                     14,                 1.2066,                  2.203,                 1.3617,                0.63776,                0.33367,                0.37079,                0.27414,                 1.1185,                 1.8712,                  1.384,             7.3517e-05,             7.3517e-05,             7.3517e-05
                     15,                 1.1874,                 2.1704,                 1.3551,                0.44874,                0.36822,                0.37891,                0.27741,                 1.0925,                 1.8281,                 1.3777,             7.1557e-05,             7.1557e-05,             7.1557e-05
                     16,                 1.1817,                 2.1162,                 1.3538,                0.61725,                0.33618,                0.41041,                0.29475,                 1.1065,                  1.802,                 1.3793,             6.9597e-05,             6.9597e-05,             6.9597e-05
                     17,                 1.1746,                 2.0575,                 1.3368,                0.46998,                0.41578,                0.41114,                0.30437,                 1.0959,                 1.7801,                 1.3736,             6.7637e-05,             6.7637e-05,             6.7637e-05
                     18,                 1.1723,                 2.0509,                 1.3435,                0.51895,                0.38556,                 0.4026,                0.29723,                 1.0938,                 1.7429,                 1.3642,             6.5677e-05,             6.5677e-05,             6.5677e-05
                     19,                 1.1698,                 1.9939,                 1.3399,                0.58808,                0.35414,                 0.4084,                0.29627,                 1.0886,                 1.7541,                 1.3619,             6.3716e-05,             6.3716e-05,             6.3716e-05
                     20,                 1.1541,                 1.9573,                  1.325,                0.59353,                0.36544,                0.40084,                0.29137,                 1.1056,                 1.7551,                 1.3744,             6.1756e-05,             6.1756e-05,             6.1756e-05
                     21,                 1.1684,                 1.9436,                 1.3341,                0.49263,                0.43035,                0.42995,                 0.3149,                 1.0826,                 1.7217,                 1.3564,             5.9796e-05,             5.9796e-05,             5.9796e-05
                     22,                 1.1522,                 1.9112,                 1.3177,                0.71578,                0.32897,                0.44205,                0.32442,                 1.0854,                 1.7133,                 1.3616,             5.7836e-05,             5.7836e-05,             5.7836e-05
                     23,                  1.164,                  1.897,                 1.3243,                0.61311,                0.38032,                0.43885,                0.32644,                 1.0847,                 1.6675,                 1.3585,             5.5876e-05,             5.5876e-05,             5.5876e-05
                     24,                 1.1508,                 1.8631,                 1.3189,                 0.6148,                0.39953,                0.46621,                 0.3407,                 1.1038,                 1.6844,                 1.3711,             5.3915e-05,             5.3915e-05,             5.3915e-05
                     25,                 1.1459,                  1.834,                 1.3157,                0.63403,                0.40395,                0.45259,                0.33013,                 1.0802,                 1.6517,                 1.3515,             5.1955e-05,             5.1955e-05,             5.1955e-05
                     26,                 1.1364,                 1.8419,                  1.318,                0.43192,                0.47277,                0.47632,                0.35541,                 1.0922,                 1.6443,                 1.3598,             4.9995e-05,             4.9995e-05,             4.9995e-05
                     27,                 1.1306,                 1.8174,                 1.3083,                0.55783,                0.44889,                0.46244,                0.34672,                 1.0658,                 1.6251,                 1.3479,             4.8035e-05,             4.8035e-05,             4.8035e-05
                     28,                 1.1442,                 1.7873,                 1.3139,                0.67098,                0.39959,                0.46952,                0.35139,                 1.0608,                 1.6083,                 1.3406,             4.6075e-05,             4.6075e-05,             4.6075e-05
                     29,                 1.1288,                  1.775,                 1.3085,                0.61191,                0.43473,                0.48627,                0.36432,                 1.0555,                 1.6071,                  1.333,             4.4114e-05,             4.4114e-05,             4.4114e-05
                     30,                 1.1228,                 1.7618,                 1.2995,                0.69455,                0.39011,                0.49372,                0.36865,                 1.0723,                 1.5993,                 1.3448,             4.2154e-05,             4.2154e-05,             4.2154e-05
                     31,                 1.1195,                 1.7496,                 1.2979,                0.55503,                0.46579,                0.48725,                0.36897,                  1.064,                 1.6042,                 1.3389,             4.0194e-05,             4.0194e-05,             4.0194e-05
                     32,                 1.1291,                 1.7163,                 1.3026,                0.57749,                0.46094,                 0.5081,                0.37831,                 1.0623,                 1.5795,                 1.3337,             3.8234e-05,             3.8234e-05,             3.8234e-05
                     33,                 1.1148,                 1.7041,                 1.2969,                0.55119,                0.46807,                0.50438,                0.38424,                 1.0502,                  1.547,                 1.3317,             3.6274e-05,             3.6274e-05,             3.6274e-05
                     34,                 1.1127,                 1.7034,                 1.2945,                0.65313,                0.41669,                0.47856,                0.36008,                  1.057,                 1.5541,                 1.3332,             3.4313e-05,             3.4313e-05,             3.4313e-05
                     35,                 1.1096,                  1.672,                 1.2937,                0.58324,                0.44586,                0.47982,                0.35947,                 1.0593,                 1.5574,                 1.3355,             3.2353e-05,             3.2353e-05,             3.2353e-05
                     36,                 1.1042,                 1.6701,                 1.2895,                0.57938,                0.44727,                0.48698,                0.36489,                  1.063,                 1.5538,                 1.3394,             3.0393e-05,             3.0393e-05,             3.0393e-05
                     37,                 1.1087,                 1.6651,                 1.2888,                0.53527,                0.46392,                0.49771,                0.37475,                 1.0469,                 1.5384,                 1.3247,             2.8433e-05,             2.8433e-05,             2.8433e-05
                     38,                 1.0918,                  1.667,                 1.2783,                0.58786,                0.46732,                0.50616,                0.37954,                 1.0517,                 1.5133,                 1.3294,             2.6473e-05,             2.6473e-05,             2.6473e-05
                     39,                 1.1031,                 1.6745,                 1.2871,                 0.6244,                 0.4527,                0.51188,                0.38713,                 1.0469,                 1.5238,                 1.3265,             2.4512e-05,             2.4512e-05,             2.4512e-05
                     40,                 1.0915,                 1.6208,                 1.2806,                0.56289,                 0.4753,                0.50732,                0.38379,                 1.0442,                 1.5175,                 1.3235,             2.2552e-05,             2.2552e-05,             2.2552e-05
                     41,                 1.0478,                 1.6393,                 1.3057,                0.53202,                0.47165,                0.51068,                0.38015,                 1.0489,                 1.5602,                  1.326,             2.0592e-05,             2.0592e-05,             2.0592e-05
                     42,                 1.0386,                 1.5687,                  1.296,                0.51468,                0.50379,                0.52867,                0.39483,                 1.0389,                 1.5266,                 1.3219,             1.8632e-05,             1.8632e-05,             1.8632e-05
                     43,                 1.0241,                  1.541,                   1.29,                0.54896,                0.48779,                0.52008,                 0.3924,                 1.0411,                  1.516,                 1.3215,             1.6672e-05,             1.6672e-05,             1.6672e-05
                     44,                 1.0186,                   1.51,                  1.283,                0.49461,                0.51478,                0.52051,                0.39224,                 1.0386,                 1.5124,                 1.3168,             1.4711e-05,             1.4711e-05,             1.4711e-05
                     45,                  1.016,                 1.5227,                 1.2864,                0.52191,                0.51189,                0.52411,                0.40096,                 1.0385,                 1.5043,                 1.3171,             1.2751e-05,             1.2751e-05,             1.2751e-05
                     46,                 1.0126,                 1.5027,                 1.2674,                0.51974,                 0.5105,                0.52283,                0.39973,                 1.0311,                 1.4987,                 1.3094,             1.0791e-05,             1.0791e-05,             1.0791e-05
